employerName,employerAddressStreet_name,employerAddressCity,employerAddressState,employerAddressZip,einEmployerIdentificationNumber,employeeName,ssnOfEmployee,box1WagesTipsAndOtherCompensations,box2FederalIncomeTaxWithheld,box3SocialSecurityWages,box4SocialSecurityTaxWithheld,box16StateWagesTips,box17StateIncomeTax,taxYear
Martin-Lee PLC,2709 Travis Lakes,Whitefort,WI,55196-2712,23-3804616,Connor Medina,722-96-7683,180517.28,54879.51,0,17913.85,90966.53,507764,2018
Clayton and Ramirez Led,7553 Bates Rest Suite 521,West Trevormouth,MV,12524-2457,UNKNOWN_EIN,Jennifer Carter,000-00-0000,0,0,0,0,0,9433.4,2018
"Bell, Murray and Bryant Group",08991 Arthur Manors Apt. 993,Brianmouth,MT,88572-8300,55-7682319,Laura Mitchell,374-87-7160,109550.16,22779.72,80330.0,6145.24,60159.98,4822.64,2018
Davis-Douglas and Sons,054 Lane Vista Apt. 056,Alexanderland,IL,22806-8430,50-4959379,Emily Hamilton,487-42-2012,0,.2635566,0,7299.77,49756.6,.394279,2018
Hernandez-Melendez Ltd,0378 Pratt Course,West Rachelberg,LA,41958-3665,22-2210445,Jordan Harmon,419-93-4513,191517.51,.0255912,226795.94,17349.89,.10385168,.319584,2018
Aguilar PLC Inc,220 Matthews Parkway Apt. 305,East Debra,Unknown,49011-2182,55-4570839,Christine Patel,178-21-6267,0,23789.22,168870.85,1291862,6597758,8.5681,2018
Beasley LLC LLC,009 collins Ways Suite 050,Parkshaven,Co,52069-5665,10-5048072,Mr Tony,842-39-2152,0,24998.29,236890.91,18122.15,2903817,3138.2,2018
Savage-Collins Ltd,3339 Emily Trace Suite 390,Alexandermouth,VT,83851-0087,36-2690635,Courtney Hayden,404-40-6072,0,.5528107,218074.14,.1668267,.8398914,.544272,2018
Knight-Lewis and Sons,245 Shannon Vista,East Austin,UT,72161-6403,54-4891082,Mrs. Alexis,364-77-1221,182018.87,60177.01,227148.72,17376.88,.9389967,4597.58,2018
Sanchez-Rice Ltd,706 Matthew Greens,South Melissaside,MO,90311-4687,03-7742861,Jeremy Brown,000-00-0000,0,20612.08,0,6659.32,.4037761,.315273,2018
Moore ore-Boone and Sons,1087 Ashley Flats Apt. 892,Angelaton,TX,27738-3051,59-5629589,Nicholas Butler,278-03-4504,190203.27,4864734,148426.79,11354.65,95086.0,0,2018
Group Lee-williams,83244 Gary Ways Apt. 177,Tonyaberg,CA,42158-3720,UNKNOWN_EIN,David Paul,671-21-9179,0,.3729889,88855,0,0,4530.22,2018
lester and does Ta,987 Townsend Spray,Lake Anthear,Unknown,06179-5945,UNKNOWN_EIN,michael Andrade,000-00-0000,0,0,0,0,0,0,2018
Merritt Inc LLC,49002 Davis Passage Apt. 320,South Allenside,WI,41144-6583,33-3344253,Barry Donovan,473-54-7207,0,.2755541,103868.31,7945.93,44411.75,4459.92,2018
Hoffman-Gutierrez Ltd,38300 Nancy Roads,Jessicaside,WY,69552-5201,58-7007829,Michael Friedman,455-11-6220,158376.77,54436.6,168193.25,0,0,7066.07,2018
Jones Ltd Ltd,11510 Rest Fieldshaven,Unknown,AZ,02906-3853,51-9104110,John Kelly,000-00-0000,0,2,492,37,0,2200.93,2018
Leach Inc PLC,59415 Griffith Garden,East Angelamouth,TN,17890-4194,52-6484468,Harry Cobb,000-00-0000,0,0,91585.04,7006.26,5356205,4394.47,2018
"Smith, Morales and Gates LLC",1698 Harrison Mission,West Dennisview,NY,30232-7204,75-5356392,Alexis Sexton,000-00-0000,0,35212.96,0,11579.53,86280.81,4623.79,2018
"Mason, Mejia and Mitchell Lid",31658 Stevenson Meadow Apt. 729,New Matthew,NY,73479-0478,98-1743706,Angela Warren,698-35-0143,0,1067069,0,6620.0,46664.,3245.08,2018
"Inc Phillips, Brown and Hartman",88614 Bowman Greens,Port Christopherview,AL,16116-5700,44-1028453,Krystal Pena,560-44-5950,205961.82,0,0,0,0,5361.89,2018
Fox-Mitchell and sons,Anthony Green Suite 080,Port Markland,VA,16842-7708,46-8285369,Jeffrey Herrera,000-00-0000,181356.1,0,207963.37,15909.2,0,10233.7,2018
Sullivan and Sons Inc,005 Daniel Isle Suite 494,East Kristina,HI,83900-7052,20-9619600,Melissa Obrien,129-35-6394,118514.45,2705304,86588.28,6624.0,58706.83,.393186,2018
and Henson Sons LLC,31421 Eric Hollow,Wallacetown,NV,05459-4081,81-4598559,Miranda Harrison,000-00-0000,142081.5,28361.15,105238.52,.758050,76062.21,4972.97,2018
"Carlson, Kent and Lewis Ltd",673 Navarro Parkways Suite 318,Jeremiahbury,MA,48922-6899,04-2996811,Robert Hill,000-00-0000,206185.64,52697.67,239679.0,18335.44,99901.84,5542.98,2018
Mills-Leblanc and Sons,"2516 Rodgers Forges Apt, 268",Roseborough,KY,20338-4106,41-6457623,Charles Martin,000-00-0000,100883.71,30749.57,104947.04,.802845,852972.,3317.57,2018
"Cox, Anderson and Sanchez Group",469 Andrew Highway Apt. 637,South Darrell,MN,12183-2544,72-0239768,Jennifer Burch,000-00-0000,243726.91,70369.09,267545.68,20467.24,56121749.,15856.16,2018
Thomas-May Ltd,894 Alex Loaf Suite 877,Lake Jeffery,ID,07679-0916,72-9911022,Troy Clarke,000-00-0000,221339.69,53987.44,234114.89,.7917909,10024637,9756.51,2018
"Lewis, Parks and Schneider Group",0181 Philip Brook,Sharonport,TX,85235-8662,59-5500683,Mitchell williams,000-00-0000,138773.44,1702197,142455.83,10897.87,65497.75,7560.95,2018
Patterson-Walton and Sons,10639 Hansen Mountains,West Tonyashire,SD,18073-6674,44-7924459,Unknown,000-00-0000,247828.99,69544.26,242567.69,10556.43,0,0,2018
Wilcox Group Group,1054 White Center Suite 467,Mcneilstad,LA,05772-6936,40-0340211,Joel Fernandez,000-00-0000,174110.95,59784.88,169581.52,12972.99,93421.7,3708.21,2018
Garcia and Sons Group,09027 King Street Apt. 296,South David,MA,94924-0456,50-8500107,Mr. Kevin,000-00-0000,178119.99,23032.47,167018.27,12776.9,85609.53,11076.29,2018
Brown-Dunn LLC,28857 Edward Ferry Apt. 226,Lake Cynthia,MI,84969-1857,26-9963170,JO Kelly,000-00-0000,131815.8,27993.41,131475.37,10057.87,72241.36,6961.16,2018
Hawkins-Bailey PLC,1722 Fuentes Estate,Burkeview,NM,27806-7832,22-0503147,Francisco Brooks,000-00-0000,87607.33,14534.75,72773.59,556718,48447,1969.38,2018
Brown-Dunn LLC,28857 Edward Ferry Apt. 226,Lake Cynthia,MI,84969-1857,26-9963170,JO Kelly,000-00-0000,131815.8,27993.41,131475.37,10057.87,72241.36,6961.16,2018
Larsen and Sons Ltd,5710 Erin Inlet Apt. 472,North Nicholas,GA,44118-2289,34-3640687,Michael Harrington,000-00-0000,206318.49,21209.46,0,.2016968,.10278468,.924454,2018
"Thompson, Bauer and Mullen PLC",46488 Richard Drive,East Jessica,NE,17052-2850,16-9242735,Jessica Watson,000-00-0000,237546.01,61615.17,167454.71,12810.29,112042.71,5870.01,2018
"Reynolds, Taylor and Wallace LLC",060 Ashley Garden Suite 290,Millerview,KY,52289-0847,27-7226250,David Sexton,000-00-0000,242842.12,39092.15,265916.06,20419.08,114952.97,9751.84,2018
Brown Ltd Ltd,17856 Larson View,South Matthew,NE,53957-2888,38-9684643,Rickey Estrada,000-00-0000,84744.35,12724.0,101442.56,7760.36,39331.07,4544.11,2018
Stanley PLC Inc,585 Rose Spur Apt. 860,West Ronaldtown,AZ,37353-2583,72-2371062,Russell Jenna,000-00-0000,187993.39,30779.81,204488.03,15643.33,87533.98,1402.,2018
Kent and Sons LLC,7790 Williams Fall,Seanland,MI,32842-1134,25-3349410,Steven Hallill.,000-00-0000,240330.89,35494.65,280634.5,21468.54,0,9480.13,2018
Valencia Group Ltd,632 Jensen Roads,Laurachester,VT,54791-2119,74-3529838,Latasha Johnson,000-00-0000,147123.33,52569.93,117853.94,9015.83,73176.09,6525.45,2018
"Casey, Terry and Bradley Ltd",556 Hoffman Shoal Suite 475,Port Cheryl,AZ,77170-2706,62-2164100,William Byrd,000-00-0000,9889318,24968.78,111322.05,8516.14,4489988,5055.19,2018
"Schneider, Martin and Jackson LLC",31990 Clark Corner,Lake Jenniferfort,WI,56526-3457,94-3980999,Thomas Moody,000-00-0000,233146.9,73449.38,208770.54,15970.95,106270.46,13531.38,2018
"Crawford, Leon and Shaw Group",02488 Joseph Shore,Joshuamouth,IL,05110-3687,52-9690896,Karen Gray,000-00-0000,118170.21,29617.95,130117.54,9953.99,59199.31,5105.16,2018
"Jackson, Black and Coleman Ltd",9754 Ross Route Suite 669,New Vincent,MN,65429-3555,20-4868320,Edward Valdez,000-00-0000,67768.27,22110.14,80965.34,6193.85,33522.47,2453.72,2018
Shah-Ford PLC,653 Lopez Lock,Emilyland,HI,83503-9585,90-3209845,Sarah Schwartz,000-00-0000,71207.69,1426.05,71639.61,549043,0,0,2018
"Wright, Murphy and Taylor Group",803 Julie Brooks,West Nathaniel,PA,68966-6776,85-6781669,Maria Sparks,000-00-0000,187638.77,63800.28,150473.68,11511.24,93928.81,8385.66,2018
"Collins, Potter and Hill Inc",293 Barrett Ridges Apt. 003,East Nicholaston,CA,84297-0709,64-0920164,Lynn Miranda,000-00-0000,67328.87,10223.79,63436.14,485286,32567.59,2374.56,2018
"Miller, Sherman and Donovan and Sons","03906 Anne Lakes Apt, 408",Perezfurt,SD,93372-6365,31-3324143,Brenda Price,000-00-0000,202897.03,58593.47,196502.25,15032.42,93128.76,4494.45,2018
"Hutchinson, Gonzalez and Mercer and Sons",269 Jasmine Green Suite 480,South Richard,IA,22003-3151,90-0856165,Michael Henderson,000-00-0000,164476.66,59262.82,12885139,9857.13,0,5119.05,2018
"Kelly, Cunningham and Smith Ltd",866 Wilson Fall Suite 425,West Frankland,WI,61690-0393,42-9933985,Paul Jones,000-00-0000,148757.18,50567.23,118352.64,9053.98,71865.87,5614.28,2018
Price-Jones Inc,32444 Delacruz Locks,West Teresa,AZ,40362-6905,04-1007725,Julie Garcia,000-00-0000,40052.63,10372.30,64652.76,3416.01,10956.00,1030.04,2018
Montgomery-Taylor LLC,5714 Erik Isle Suite 520,Longview,PA,18807-1247,81-4587812,Alfred Acevedo,000-00-0000,172009.07,34561.77,135240.01,10345.86,79884.89,6681.17,2018
Calderon and Sons and Sons,3584 Bennett Rapids,West Johntown,WV,16441-1778,58-6019724,Amber Harmon,000-00-0000,185228.44,35009.12,177043.07,13543.79,92543.3,11060.06,2018
Payne PLC LLC,92021 Newton Pine Apt. 873,Austinland,IA,53854-0756,04-3690028,Matthew Atkins,000-00-0000,205515.16,36225.34,149428.93,11431.31,104802.34,10447.92,2018
Roberson-Little PLC,8162 Willie Road,Reynoldsside,WI,71434-3665,62-9391778,Miss Candace,000-00-0000,119440.15,36367.43,130527.85,9985.38,63847.38,3340.7,2018
Warren-Newman PLC,976 Julie Ways,Heatherchester,VA,83318-7059,04-8918704,Matthew Clark,000-00-0000,97553.19,28985.52,30331.85,6145.39,0,2788.95,2018
"Golden, Gallegos and Melton Ltd",983 Roberts Rapids,New Kirk,RI,93155-6802,71-4697892,Rachel Casey,000-00-0000,228301.87,48261.07,234610.14,17947.68,116857.48,13659.8,2018
"Gregory, Martin and Morris Group",03489 Lowe Square Apt. 712,Nguyenstad,NJ,07249-1487,86-5611901,Stephanie Cervantes,000-00-0000,132137.41,34142.49,14107423,10792.18,4772419.,7161.74,2018
Salas-Castro Ltd,6066 Eric Lock Suite 437,Lynnburgh,OR,21142-7211,05-3484839,Harry Lucas,000-00-0000,159997.03,52062.86,120524.65,9220.14,76267.99,4661.65,2018
Warren-Newman PLC,976 Julie Ways,Heatherchester,VA,83318-7059,04-8918704,Matthew Clark,000-00-0000,97553.19,28985.52,30331.85,6145.39,0,2788.95,2018
"Fields, Adkins and Trevino Ltd",1335 Nicholas Gardens Suite 508,New Kevin,OR,16646-3109,13-7957726,Timothy Myers,000-00-0000,113879.87,18992.61,122812.38,9395.15,52027.61,2263.66,2018
Cabrera Group Ltd,5553 Thomas Passage Apt. 705,West Theodore,Co,56221-5487,50-4141334,Melissa Anderson,000-00-0000,214731.04,47393.74,211281.72,16163.05,1210590145,5436.4,2018
Logan-Jones PLC,32698 Frederick Corner Apt. 724,South Samantha,NM,31185-3412,34-1278184,Jennifer West,000-00-0000,81342.73,18541.17,84679.79,6478.0,.4131104,0,2018
"Sandoval, and and White Anderson Sons",275 Peter Dale Suite 633,Johnberg,OK,46724-6879,13-2456974,Mrs. Stacy,000-00-0000,135146.15,30825.86,148589.27,11367.08,65527.5,4386.91,2018
"Floyd, Bell and Greene Group",42469 Samantha Grove,South Kelly,WA,84197-4265,56-7916787,Stephen Haynes,000-00-0000,245027.48,83617.73,227228.51,17382.98,131396.69,5187.25,2018
"Moss, Wheeler and Jones Ltd",833 Wright Estate Apt. 031,Kaneport,FL,11565-3377,31-5341496,Donna Holmes,000-00-0000,95517.52,14432.88,74816.9,5723.49,44287.06,74.2285,2018
Carter-Gilmore Ltd,454 Gregory Ridges Suite 548,West James,GA,53721-2553,52-6317444,Penny Hart,000-00-0000,0,.1356565,74873.26,5727.8,.3076764,.276863,2018
"Kelley, Fuller and Bennett Ltd",0687 Jennifer Islands Apt. 022,Lake Ray,NH,67095-6576,36-6965882,Christine? /Acosta,000-00-0000,97993.64,27072.16,118640.22,9091.28,0,4083.73,2018
Jackson-Johnson PLC,32483 Curtis Greens,Michaelberg,WY,06943-5520,73-0232661,Vanessa Jackson,000-00-0000,44595.43,10041.55,46101.93,3526.8,23961.38,1308.19,2018
Nguyen-Herman and Sons,86489 Jennifer Mission,Marksfurt,MD,86393-4326,66-0288314,Megan Gonzales,000-00-0000,170054.88,24582.68,150583.84,11519.66,7689239,6870.53,2018
Pruitt and Sons Ltd,22054 Larry Point Apt. 234,Lake Haileyport,RI,10263-3140,38-2151002,Kelly Wise,000-00-0000,50117.88,12349.69,55241.55,4225.98,0,1062.27,2018
Jones-Mayer and Sons,76782 Melissa Manor Suite 642,Shawstad,WA,94675-4771,66-6917490,Johnathan Fox,000-00-0000,136292.85,14732.21,137852.88,10545.75,64630.83,6110.54,2018
Hall-Walker LLC,38185 Carla Corners,Lauramouth,WI,61735-0157,71-5875451,Jillian Delgado,000-00-0000,107560.22,35693.38,86567.32,6622.4,54866.51,4483.74,2018
Miller-Marks Inc,0759 Kelly Camp,West Angela,MO,27722-6633,64-7554162,Christine Moore,000-00-0000,57695.6,7191.74,62590.87,4788.2,27597.95,1212.44,2018
Alvarado Inc Ltd,93054 Cynthia Stravenue,Lake Brendashire,MN,94019-3426,04-4602698,Amber Bell,000-00-0000,170001.82,18020.6,119918.75,9173.78,0,427922,2018
Barnett-Moran Ltd,3711 Curtis Orchard Apt. 563,Port Davidville,WY,98710-6424,80-2515542,Vincent Barry,000-00-0000,58304.97,10836.76,56051.56,4287.94,2832404,1982.96,2018
Bennett and Sons Group,313 Barron Fort,West Anthonyfort,KY,97555-4063,85-1389854,Shawn Mercado,000-00-0000,190584.88,59835.97,159290.95,12185.76,1030167,5686.23,2018
"Miller, Sherman and Donovan and Sons","03906 Anne Lakes Apt, 408",Perezfurt,SD,93372-6365,31-3324143,Brenda Price,000-00-0000,202897.03,58593.47,196502.25,15032.42,93128.76,4494.45,2018
Watkins PLC PLC,480 Cook Track,Ruizfurt,ND,16760-1064,74-3629388,Lori Hebert,000-00-0000,76710.3,11444.41,90562.66,6928.04,35277.86,4620.99,2018
"Baker, Martin and Robinson Group",6172 Coleman Park Apt. 056,Brownbury,AK,13264-3763,11-6833649,Nathan Lopez,000-00-0000,165335.02,33806.92,180716.07,13824.78,77929.43,4720.71,2018
"Baker, Wiley and Riley Inc",146 Joshua Keys,Aguilarhaven,KS,24398-8996,80-9054136,Catherine Hall,000-00-0000,138993.72,44250.9,.10352274,7919.49,63943.59,3139.23,2018
Bates-Davis and Sons,4924 Elizabeth Keys,Lake Melissa,MN,21561-9070,86-3853566,Jesus Hendrix,000-00-0000,76488.12,9507.66,95478.80,7304.13,35205.22,1790.01,2018
Clark Ltd and Sons,11364 Marisa Ways,Brownberg,MN,19638-8684,41-9862091,Jordan Odonnell,000-00-0000,145660.2,34558.74,159478.65,12200.12,67207.3,6009.34,2018
King-Anderson Inc,18078 Lauren Mountain,Mercerburgh,NC,86817-9350,34-7235543,April Young,000-00-0000,152306.97,36441.60,145126.2,145217,0,0,2018
Newman-Bailey and Sons,54032 Raymond Mills,Jonesburgh,KY,94700-0716,80-1065756,Julie Little,000-00-0000,155676.04,33913.22,.18109862,0,.7087579,19421.53,2018
Meyer PLC PLC,019 Sarah Mews,Port Robert,VT,68747-1945,15-9413202,Angela Griffin,000-00-0000,650681,22307.33,77518.79,5930.19,34276.63,2427.58,2018
Williams Inc Inc,652 Meyer View,Taylorville,IN,56716-6622,91-0762016,Dawn Johnson,000-00-0000,88023.79,30162.58,111310.47,8515.25,40973.84,3754.31,2018
Walker Group PLC,88429 Annette Fields,South Joshuafort,PA,34492-5445,42-1551597,Meredith Lee,000-00-0000,86860.24,10064.6,64063.69,4900.87,47564.93,2880.29,2018
Franco-Nelson LLC,396 Frazier Spur,Julieland,WY,77609-7429,39-3160482,James Bird,000-00-0000,84320.5,20001.02,96762.24,7402.31,46281.64,2803.71,2018
Hernandez LLC and Sons,720 Thomas Track Apt. 253,Johnsonhaven,WY,73034-5606,27-0916551,Richard Smith,000-00-0000,196625.39,35884.32,200379.52,15329.03,99246.64,10098.15,2018
Meza LLC Inc,2102 Harrison Mountains,North Gary,MA,26765-0722,74-8667153,Jorge Armstrong,000-00-0000,113402.14,23013.25,100869.26,7716.5,58974.08,4367.76,2018
Castillo Ltd PLC,8364 Simpson Glen,Wilkinsonborough,IA,66013-3322,32-8922015,Charles Cunningham,000-00-0000,155940.37,52211.18,117494.42,8988.32,70754.63,8632.37,2018
"Crawford, Marquez and Martin Ltd",0259 Jocelyn Ferry Suite 142,Lake Gary,RI,39228-3142,66-2312959,Dustin Ford,000-00-0000,167194.56,48973.11,158800.38,12148.23,86115.66,0,2018
Dixon Group Group,7825 Jeremy Garden Apt. 534,Lake Johnnystad,OR,23936-6471,98-9821712,Michael Hill,000-00-0000,200012.79,23986.4,236745.01,18110.99,105195.87,11105.95,2018
White-Lloyd LLC,12543 Robertson Forge,Port Molly,KS,28381-6776,20-5656002,Charles Best,000-00-0000,128454.46,27086.41,15999849,12239.88,70250.42,4919.61,2018
Gordon-Tanner PLC,617 Garcia Forge Apt. 863,Knightchester,SD,03281-2125,84-2011890,Caleb Wright,000-00-0000,163364.16,39444.42,144038.83,11018.97,78969.74,5596.23,2018
"Estrada, Taylor and Long Inc",279 Baker Drive,North Williamborough,UT,40537-6839,34-6859675,Felicia Andrews,000-00-0000,224687.26,27986.01,281540.19,21537.82,102973.0,4682.22,2018
Gross LLC Inc,6942 Nicholson Spur Apt. 213,Davilafort,NY,60049-4999,48-9239329,Nathan Hanson,000-00-0000,145662.36,50063.59,160831.37,612303.,.7893239,5719.77,2018
"Myers, Cervantes and Scott and Sons",39457 David Garden,South Sarah,OH,03435-2538,21-1016982,Ralph Green,000-00-0000,240216.54,33660.7,173334.74,13260.11,12479732,9092.51,2018
Mack-Clark LLC,9102 Hill Park Apt. 082,Carlland,AR,22343-9040,27-1943400,Jordan Clark,000-00-0000,234405.35,71206.69,236532.35,10094.72,124391.78,13323.12,2018
Waller-Hammond Group,91318 Sampson Plaza Suite 884,Westbury,CO,21704-8686,64-7211061,Taylor Watts,000-00-0000,158916.89,34883.22,142978.09,10937.82,75239.97,3710.61,2018
Price-Jones Inc,32444 Delacruz Locks,West Teresa,AZ,40362-6905,04-1007725,Julie Garcia,000-00-0000,40052.63,10372.30,64652.76,3416.01,10956.00,1030.04,2018
Browning LLC Ltd,847 Melanie Mills,Velasquezmouth,MI,14862-7070,12-2350152,Francisco Pierce,000-00-0000,72866.96,17704.07,76981.85,5889.11,37635.07,2991.77,2018
"Ray, Andrews and Garner Inc",9302 Jessica Avenue Suite 187,Michaelfurt,TX,59137-4807,10-3823699,Patrick Ballard,000-00-0000,249429.38,59433.67,264285.89,20217.87,130363.08,16188.93,2018
Brown and Sons Inc,1508 Charles Hollow,North Kimberlyville,WV,11262-0830,03-0129485,Sean Greene,000-00-0000,167920.69,42985.42,131825.83,10084.68,90202.4,7850.78,2018
Hamilton-Espinoza Group,58495 Richard Cove Suite 763,South Danielle,IL,47495-5593,35-3959351,John Lucas,000-00-0000,192428.9,47576.87,94202.47,7345.61,65105.27,3463.26,2018
Scott and Sons and Sons,5508 Alejandro Grove,Griffithshire,NJ,59836-2163,66-1216131,Cynthia Garcia,000-00-0000,247571.07,50219.14,180256.5,13789.62,118916.12,7477.28,2018
Deleon Ltd PLC,12095 Porter Run Apt. 103,East Michael,NH,91914-9991,20-0178502,Janet Maldonado,000-00-0000,100735.35,12117.21,117510.6,8989.56,47638.23,3373.18,2018
Group Gross-Smith,80958 Moore Track Suite 534,Zhangburgh,TX,68522-3357,03-3954378,Kard Carter,000-00-0000,123721.35,29152.73,84121139,9267.2,14045.98,3114.95,2018
PLC Williams-Mcneil,96925 Thomas Isle,Port Kristenhaven,MI,95515-2309,99-9100245,Leslie Fitzgerald,000-00-0000,151311.25,19094.37,117100.04,8958.15,77382.58,7748.35,2018
Velazquez-Ward LLC,2285 Lambert Station Suite 536,East Danielleburgh,MD,48397-2002,26-1919026,Scott Silva,000-00-0000,62879.15,19994.47,58911.31,4506.72,30904.04,1026.36,2018
Smith-Young and Sons,51359 Gilbert Knolls Suite 202,Lake Lisa,ND,47903-1654,34-2914710,Unknown,000-00-0000,190841.94,56872.29,221671.01,16957.83,0,0,2018
Shaw-Green Inc,55990 Joseph Fort Apt. 380,Port Aaronside,WA,43982-4296,16-7296926,Jeremy Fisher,000-00-0000,89573.84,29116.52,10098185,7725.11,42547.94,2899.42,2018
Shepard LLC LLC,814 Jones Harbors,Beckymouth,OK,21154-2392,48-3729849,Anna Snyder,000-00-0000,109643.93,14648.1,28175.47,6745.42,50736.48,4026.78,2018
Hall LLC PLC,148 Wagner Walks Suite 056,Moranchester,NH,54972-5612,76-1126613,Jessica Davila,000-00-0000,147978.06,20695.1,109938.87,8410.32,70995.74,6319.54,2018
Kirby PLC Ltd,2886 James Glen Suite 809,West Brittneymouth,UT,47391-8866,01-9893232,Timothy White,000-00-0000,83875.53,9550.74,100885.22,7717.72,41861.65,4034.54,2018
Reeves and Sons Group,715 Stark Flats Suite 258,Sandrafort,AL,96550-5043,10-2898529,Debra Garcia,000-00-0000,182042.65,55164.76,234196.1,17916.0,9503935,.419467,2018
LLC Wright-Mullins,742 Hamilton Divide,Catherinefurt,WA,63584-4218,63-5533013,Tamara Parker,000-00-0000,217121.52,59149.63,272926.45,20878.87,106414.23,833114,2018
"Cardenas, Davis and West LLC",8360 Martha Divide Suite 069,Port Matthewport,MO,43642-4359,73-7897333,Brian Edwards,000-00-0000,162690.95,43415.1,205064.75,15687.45,78060.24,6457.78,2018
"Kelley, Fuller and Bennett Ltd",0687 Jennifer Islands Apt. 022,Lake Ray,NH,67095-6576,36-6965882,Christine? /Acosta,000-00-0000,97993.64,27072.16,118640.22,9091.28,0,4083.73,2018
Wells Group Ltd,78558 Ryan Fort,East Tamara,MD,28071-7096,30-3186696,John Cummings,000-00-0000,16323613.,29265.86,163773.34,.1252866,85328.43,444.52,2018
Baxter and Sons Ltd,8639 Parker Square Apt. 197,West Karen,MO,53157-7804,30-1943467,Alexander Arroyo,592-84-1506,80898.06,13910.36,60512.04,4629.17,42482.44,1880.64,2018
Walsh Inc LLC,28563 Zachary Way Suite 292,Jonesshire,NC,21721-3431,UNKNOWN_EIN,Catherine Meyer,337-36-0115,68715.96,11800.02,62447.59,4777.24,34518.15,3979.87,2018
"Moreno Christian, Turner and LLC",796 Charles Views,Lake Ericabury,CA,Unknown,88-1679621,Jennifer Marsh,482-93-5189,233867.03,881441.,242349.1,18539.71,116725.06,11792.03,2018
Jackson and Sons Group,324 Amber Rue Suite 121,Birdchester,SC,81962-8266,UNKNOWN_EIN,Hill Tanya,827-30-5864,179343.13,47320.49,167262.18,12795.56,98396.52,7901.88,2018
"Reed, Jefferson and Beasley LLC",263 Reyes Gardens Suite 869,Brownfort,Unknown,72120-4069,24-8916953,Michelle Rodriguez,066-13-5202,57571.49,8139.51,62460.82,4778.25,29988.94,2707.39,2018
Simmons LLC Inc,53070 Johnny Ville Suite 652,Houstonberg,KY,97973-5459,35-3094953,Michelle Moore,591-25-7170,115183.06,15417.56,109488.73,8375.89,60193.35,7216.95,2018
Banks and Sons Inc,38652 Robert Village Apt. 191,South Gregoryton,WV,99475-1454,45-6520533,Eric Porter,693-62-1393,222288.33,48071.11,177235.06,13558.48,10805704,7949.89,2018
Elliott-Ramsey Group,06425 Johnson Springs,North Debbie,IL,29524-7236,UNKNOWN_EIN,Valerie Brown,449-71-8470,12221701.,47202.05,186031.14,14231.38,105024.5,7252.29,2018
Lawrence-Brock and Sons,575 Derrick Village,Ericaborough,WY,03848-1352,71-6295447,David Tucker,549-21-1230,80018.32,13737.59,67581.19,5169.96,4198524,301291,2018
"Davis, Mills and Chan Group",6650 Robert Drives,West Collin,OH,95547-6713,47-0722436,Jonathan Sims,650-86-5783,171241.75,31784.67,195805.25,14979.1,8135814,625882,2018
Thomas-Castillo Ltd,65932 Amanda Loop Apt. 674,Everettton,SC,04773-9319,24-3435068,Michael Thompson,591-73-9041,226279.2,23211.41,240373.79,18388.59,104389.11,10280.03,2018
Williams-Wall LLC,17911 Kim Hill,West Michael,OK,22998-6398,55-1514528,Christine Cook,617-45-4904,195581.69,23071.51,143999.61,11015.97,96052.17,8334.73,2018
"Nichols, Stewart and Atkins LLC",850 David Expressway,New Jason,HI,89805-4727,06-1121055,Unknown,143-24-8099,47495.27,11812.12,38488.12,2944.34,24767.52,3078.59,2018
Juarez PLC PLC,88706 Sanders Unions,Kleinburgh,TX,35999-7602,991-35-322,Margaret Allen,772-87-4174,109303.32,19101.26,89656.29,6858.71,52089.72,4526.24,2018
Mayo LLC Group,62231 John Fort,East Brian,RI,59718-0557,52-2477514,Michael Ward,071-51-2027,152802.26,.2367533,13907092.,10638.93,.7788116,6388.22,2018
Holland-Johnson Group,9997 Anderson Mall,Maxwellton,NJ,14336-3783,95-2659063,Jacqueline Welch,224-11-9026,178168.92,35168.54,197791.51,15131.05,85898.93,7103.69,2018
Valenzuela Group LLC,0794 Stanton Valley,Timothymouth,MT,73355-5435,84-8708100,Daniel Ward,010-28-9679,128268.61,32246.83,92380.86,7067.14,69133.16,339289,2018
Gardner-Parsons and Sons,60432 Shannon Groves Apt. 653,Rangelhaven,MS,75965-4907,11-9245123,Catherine Sherman,149-93-4511,144625.19,44303.9,164224.1,12563.14,70787.89,3065.09,2018
Mayo LLC Group,62231 John Fort,East Brian,RI,59718-0557,52-2477514,Michael Ward,071-51-2027,152802.26,.2367533,13907092.,10638.93,.7788116,6388.22,2018
Haynes-Krause and Sons,0319 Moore Harbor Suite 446,West April,WY,63754-3665,41-1303756,Tristan Humphrey,496-69-7194,54250.52,8440.4,68872.82,5268.77,26650.81,3036.85,2018
Gonzalez Inc Group,976 Justin Club Suite. 779,Melissaberg,VA,78542-4014,98-8222854,Samantha Miller,822-93-0777,170885.76,25208.85,156841.98,11998.41,85156.37,3857.47,2018
Cook-Mitchell and Sons,215 Brady Overpass Apt. 775,Wrightton,FL,47332-7657,71-4911193,Unknown,496-29-3911,100924.96,19892.62,115314.19,8821.54,52938.38,2172.56,2018
Zavala-Stone PLC,0767 Cheyenne Turnpike,Daniellebury,Mo,58120-0579,77-8231038,Crystal Vega,449-96-5985,134794.16,18821.88,153223.19,11721.57,.6257781,.528241,2018
